id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
375,Location 375,6,5,45.27,47.0,4,3,36.41,63.5,1,698,2
376,Location 376,3,2,4.8,44.2,5,4,15.97,55.5,2,208,6
377,Location 377,9,4,41.61,96.8,7,4,334.06,65.2,3,315,1
378,Location 378,5,4,18.1,94.3,4,4,151.78,54.0,2,304,1
379,Location 379,24,4,26.56,33.3,1,4,134.22,80.9,1,239,1
380,Location 380,17,1,39.93,53.7,4,2,172.13,71.3,1,224,4
381,Location 381,14,4,44.33,58.4,5,2,142.2,64.3,1,88,4
382,Location 382,21,5,17.89,46.7,1,4,260.6,79.9,3,537,3
383,Location 383,3,2,23.63,74.0,3,4,225.67,69.4,2,429,6
384,Location 384,1,3,21.31,74.8,1,1,261.09,67.4,3,220,2
385,Location 385,20,5,1.65,89.5,6,2,339.63,68.2,2,275,4
386,Location 386,21,5,15.5,81.9,2,1,199.69,63.8,3,647,5
387,Location 387,23,4,23.5,68.0,6,1,133.14,55.4,2,66,4
388,Location 388,1,1,21.14,75.8,7,5,91.44,52.8,3,592,1
389,Location 389,3,2,36.37,49.2,1,3,181.24,74.3,2,423,2
390,Location 390,18,1,19.86,71.5,3,2,373.49,81.2,3,255,3
391,Location 391,25,2,24.98,64.2,4,4,380.79,84.1,1,125,4
392,Location 392,10,2,22.05,39.3,1,4,336.78,82.4,3,146,1
393,Location 393,22,1,37.29,47.0,6,3,124.67,68.5,1,615,5
394,Location 394,26,5,43.29,50.4,1,2,298.16,80.1,1,385,5
395,Location 395,3,2,27.06,94.7,1,4,289.64,71.6,2,447,3
396,Location 396,8,1,39.68,46.1,1,4,247.29,83.7,1,387,3
397,Location 397,14,2,15.54,50.2,3,5,279.49,86.4,1,383,4
398,Location 398,24,3,27.53,55.9,5,1,250.98,77.7,2,277,3
399,Location 399,18,5,17.92,76.5,5,4,287.07,71.6,3,382,6
400,Location 400,15,4,21.3,38.3,1,2,360.6,82.6,3,124,6
401,Location 401,22,2,36.89,96.8,3,3,63.72,50.0,1,267,1
402,Location 402,23,3,44.2,90.6,3,5,377.32,71.0,3,111,1
403,Location 403,2,4,6.95,70.4,7,2,76.58,56.0,1,381,1
404,Location 404,10,4,32.1,77.2,1,5,42.65,50.0,3,601,6
405,Location 405,2,2,29.53,31.2,6,1,488.28,95.0,3,158,4
406,Location 406,26,1,6.8,53.7,6,4,478.93,94.1,3,548,4
407,Location 407,17,2,11.38,85.7,2,2,39.61,55.4,1,599,3
408,Location 408,8,3,16.24,35.4,1,3,227.19,83.1,2,118,4
409,Location 409,1,4,9.18,49.8,2,1,101.26,61.4,3,328,1
410,Location 410,9,2,12.94,71.0,6,1,247.82,73.0,3,694,2
411,Location 411,11,1,14.11,47.9,6,5,416.79,83.2,3,68,1
412,Location 412,22,2,17.45,95.4,1,1,475.8,88.3,1,434,6
413,Location 413,16,5,37.72,39.2,2,2,320.78,87.0,2,359,2
414,Location 414,7,1,29.02,85.8,2,5,183.41,69.6,1,671,3
415,Location 415,10,3,49.33,65.6,1,1,305.63,71.3,3,443,5
416,Location 416,23,4,21.32,82.5,7,3,162.88,58.4,1,164,4
417,Location 417,26,2,37.94,51.8,2,2,455.81,93.9,3,361,4
418,Location 418,3,1,43.7,66.0,7,3,436.5,84.2,3,585,6
419,Location 419,18,5,34.27,90.0,4,3,283.53,70.7,1,119,1
420,Location 420,25,1,21.18,62.7,6,5,169.15,57.0,3,195,1
421,Location 421,24,5,37.93,55.2,5,4,153.76,71.6,3,601,2
422,Location 422,13,3,10.98,67.5,7,5,26.37,53.2,2,588,4
423,Location 423,26,4,17.05,80.2,7,2,409.75,84.7,1,651,6
424,Location 424,7,3,27.79,61.0,7,2,230.69,70.8,1,241,3
425,Location 425,25,2,29.2,95.7,3,5,169.32,56.1,3,509,1
426,Location 426,4,1,2.08,50.6,2,4,240.84,81.8,3,666,4
427,Location 427,13,5,47.31,63.3,2,5,411.18,91.4,1,565,5
428,Location 428,20,5,35.13,83.0,3,2,71.06,50.0,1,142,6
429,Location 429,1,1,25.29,78.2,2,4,430.25,84.3,1,31,2
430,Location 430,8,1,46.72,90.5,3,2,449.78,79.3,3,223,1
431,Location 431,14,2,22.52,99.8,7,4,473.89,81.5,2,266,1
432,Location 432,16,3,49.04,59.9,1,4,204.77,66.4,2,282,3
433,Location 433,14,5,26.1,37.8,4,5,116.4,75.0,3,381,1
434,Location 434,12,2,6.6,32.1,7,5,193.08,77.2,3,556,6
435,Location 435,19,3,38.48,80.9,4,5,173.13,58.3,3,62,4
436,Location 436,23,2,34.27,91.2,6,4,96.32,54.9,1,521,4
437,Location 437,15,5,38.88,45.4,7,4,307.56,72.9,3,71,4
438,Location 438,2,1,47.62,41.1,5,2,243.55,81.9,1,602,5
439,Location 439,2,1,39.05,34.4,2,3,434.19,95.0,2,536,5
440,Location 440,23,3,30.96,87.6,5,5,25.73,50.0,3,140,1
441,Location 441,22,4,43.01,51.8,1,2,325.5,77.3,3,316,5
442,Location 442,19,3,33.99,58.1,4,2,383.84,91.2,1,340,5
443,Location 443,25,4,21.0,65.2,7,1,382.15,86.5,1,590,3
444,Location 444,26,2,44.4,88.8,1,5,444.18,84.6,1,528,5
445,Location 445,22,2,11.87,75.6,1,2,367.23,84.5,2,541,2
446,Location 446,26,5,36.02,73.1,2,1,464.63,91.4,2,416,2
447,Location 447,26,4,44.2,42.3,1,5,173.0,69.1,3,467,2
448,Location 448,22,5,36.83,65.9,7,4,256.57,68.7,3,375,1
449,Location 449,17,1,35.17,80.1,7,1,16.9,50.0,1,291,4
450,Location 450,20,4,37.88,98.1,4,4,13.41,50.0,2,43,3
451,Location 451,10,3,23.79,44.1,7,3,127.66,61.5,3,53,1
452,Location 452,6,1,43.83,30.7,5,3,59.4,63.6,1,232,4
453,Location 453,15,1,10.97,35.3,4,3,137.5,71.2,1,212,3
454,Location 454,22,3,7.24,56.3,2,3,96.75,57.6,2,8,3
455,Location 455,11,1,14.99,87.4,4,2,23.97,50.0,2,634,3
456,Location 456,5,4,27.05,30.5,3,3,455.56,95.0,3,483,2
457,Location 457,1,5,26.02,62.0,5,2,14.03,50.0,3,42,2
458,Location 458,8,1,41.21,53.0,3,2,370.68,89.3,1,333,2
459,Location 459,21,4,20.82,33.7,3,5,84.55,68.1,1,233,3
460,Location 460,12,2,24.73,61.5,6,2,456.99,87.0,1,70,6
461,Location 461,12,4,1.66,47.8,7,2,447.47,86.3,3,16,3
462,Location 462,5,5,21.08,54.6,2,3,330.41,78.4,2,69,2
463,Location 463,7,4,32.74,79.4,1,2,339.39,71.9,3,53,3
464,Location 464,4,3,1.76,66.5,3,4,12.62,58.6,2,685,2
465,Location 465,6,5,14.76,38.7,4,3,492.59,95.0,3,379,2
466,Location 466,13,2,11.19,97.3,1,1,440.14,82.9,3,463,2
467,Location 467,20,3,3.06,74.5,4,3,448.6,88.1,2,527,6
468,Location 468,15,4,24.48,83.6,4,2,333.03,77.1,3,679,4
469,Location 469,3,5,9.9,35.5,1,4,178.95,74.8,3,63,3
470,Location 470,23,2,37.41,33.3,1,3,447.89,95.0,1,261,1
471,Location 471,8,3,42.55,31.4,7,4,152.84,70.9,2,500,2
472,Location 472,20,2,27.73,43.2,4,1,285.73,76.3,2,121,6
473,Location 473,16,4,49.1,59.0,2,1,58.87,55.6,1,240,1
474,Location 474,13,2,23.07,95.5,7,5,461.76,83.4,2,465,4
475,Location 475,18,1,26.16,62.0,5,5,78.98,59.7,1,107,3
476,Location 476,10,3,49.47,50.3,6,3,120.2,52.9,2,180,6
477,Location 477,19,2,12.35,69.3,5,5,283.49,73.1,2,16,2
478,Location 478,17,4,47.18,37.8,2,4,384.41,95.0,2,355,2
479,Location 479,24,4,3.1,72.7,7,5,313.48,75.1,2,309,2
480,Location 480,19,2,22.87,69.8,6,4,123.75,63.5,1,589,6
481,Location 481,26,4,4.43,85.4,7,5,10.46,50.0,1,605,1
482,Location 482,23,5,36.73,99.1,1,5,381.0,74.9,2,181,4
483,Location 483,26,5,30.81,47.6,6,5,492.75,95.0,3,174,3
484,Location 484,5,5,35.63,65.7,4,2,406.86,89.3,1,354,4
485,Location 485,26,1,19.35,93.6,5,2,235.5,63.6,2,354,2
486,Location 486,21,2,19.1,85.0,6,5,452.85,83.1,1,219,4
487,Location 487,23,1,3.22,64.1,4,4,210.83,74.1,3,655,1
488,Location 488,9,4,18.15,96.2,7,3,267.22,60.2,3,315,5
489,Location 489,12,1,46.54,34.0,2,1,243.79,81.5,3,434,5
490,Location 490,21,4,19.58,95.2,6,2,229.34,57.5,2,282,3
491,Location 491,1,4,41.74,33.5,4,5,389.84,90.6,2,259,3
492,Location 492,26,3,42.27,68.3,7,1,268.12,67.7,3,559,4
493,Location 493,26,5,19.29,92.3,7,2,165.19,51.5,1,5,3
494,Location 494,1,4,31.97,48.4,7,3,136.5,67.6,1,574,6
495,Location 495,15,3,5.67,63.1,2,4,28.5,53.8,3,596,1
496,Location 496,2,5,6.08,52.7,1,5,295.77,86.0,2,645,2
497,Location 497,22,4,3.38,96.7,2,3,122.68,56.9,1,394,2
498,Location 498,16,4,29.47,87.7,2,2,82.59,54.0,1,336,4
499,Location 499,25,1,21.88,79.6,5,5,330.38,74.1,1,63,2
500,Location 500,8,1,27.85,71.1,7,1,343.79,73.5,2,44,4
501,Location 501,13,5,26.53,87.4,4,4,378.56,75.6,3,153,3
502,Location 502,21,4,18.16,57.5,6,2,256.75,76.6,2,683,3
503,Location 503,1,2,34.2,61.3,5,4,448.09,90.5,1,156,6
504,Location 504,16,1,38.17,81.1,7,5,468.81,82.4,3,478,6
505,Location 505,7,5,1.72,55.0,3,3,405.61,90.1,2,275,1
506,Location 506,5,4,11.15,34.5,2,4,321.44,90.4,3,358,2
507,Location 507,22,4,35.95,35.2,3,1,158.82,76.3,1,426,6
508,Location 508,23,2,19.94,38.1,7,2,491.64,95.0,2,532,1
509,Location 509,3,5,33.46,90.9,5,1,144.33,55.8,3,483,5
510,Location 510,12,4,18.0,63.1,4,4,109.3,57.7,2,214,6
511,Location 511,26,1,20.15,79.9,5,3,226.66,65.8,1,79,1
512,Location 512,16,2,8.78,57.5,4,3,37.85,50.7,3,139,4
513,Location 513,19,5,13.65,48.1,4,1,489.46,95.0,1,98,4
514,Location 514,5,2,30.67,54.3,7,5,298.33,78.0,3,664,1
515,Location 515,22,1,22.22,85.6,1,5,282.91,72.0,1,198,3
516,Location 516,25,5,38.94,73.8,7,3,331.34,71.2,1,156,5
517,Location 517,14,2,42.78,95.6,2,1,253.54,60.3,2,50,1
518,Location 518,5,3,27.54,77.6,5,1,25.71,50.7,1,479,6
519,Location 519,15,1,38.16,69.9,4,1,310.03,74.4,2,228,3
520,Location 520,17,1,16.04,72.7,7,4,360.93,82.6,1,457,1
521,Location 521,14,1,21.33,96.0,7,5,214.21,65.4,1,522,2
522,Location 522,20,3,35.93,85.2,5,5,381.07,76.4,1,149,6
523,Location 523,5,3,19.92,31.7,5,4,121.23,61.5,3,58,6
524,Location 524,12,4,29.84,67.4,4,2,118.43,58.6,2,162,4
525,Location 525,16,2,10.08,78.2,6,4,89.09,50.3,3,477,2
526,Location 526,26,4,30.39,82.4,3,1,192.28,59.3,2,107,2
527,Location 527,26,2,43.21,44.9,2,4,425.04,94.0,1,427,6
528,Location 528,16,3,43.56,90.7,2,1,415.68,74.6,3,395,5
529,Location 529,21,3,36.49,96.9,6,3,197.58,52.8,2,186,3
530,Location 530,7,4,37.54,46.6,1,1,298.67,89.7,1,558,4
531,Location 531,4,5,28.34,91.8,6,5,363.2,76.1,2,446,2
532,Location 532,1,4,29.65,36.8,1,4,128.19,79.1,2,641,4
533,Location 533,5,2,7.55,33.9,1,1,92.39,72.8,1,448,6
534,Location 534,23,4,22.75,39.0,6,2,486.33,94.4,3,87,3
535,Location 535,26,1,23.09,34.0,2,3,312.6,89.2,1,249,1
536,Location 536,10,2,47.97,89.2,3,2,490.89,83.5,3,440,2
537,Location 537,22,2,22.12,34.1,2,2,175.5,79.7,2,257,3
538,Location 538,5,5,27.92,49.0,7,2,354.49,81.2,2,277,4
539,Location 539,4,3,27.13,37.3,2,3,119.08,76.2,2,438,6
540,Location 540,2,2,32.2,50.7,2,3,137.99,68.2,3,516,3
541,Location 541,20,3,37.66,36.3,6,3,260.83,88.5,1,577,1
542,Location 542,10,4,12.03,76.8,6,3,166.61,52.9,3,202,3
543,Location 543,26,1,26.91,39.3,7,2,92.13,63.1,2,575,6
544,Location 544,19,5,41.47,89.6,7,5,138.81,56.2,2,655,4
545,Location 545,26,3,23.69,87.2,6,5,27.52,50.0,1,180,2
546,Location 546,1,2,14.64,31.0,2,3,355.17,95.0,3,686,2
547,Location 547,24,3,33.08,92.7,3,4,251.14,65.9,2,325,5
548,Location 548,5,2,41.36,32.0,1,1,56.18,62.6,3,623,4
549,Location 549,13,3,4.09,46.8,5,4,94.13,66.7,3,687,5
550,Location 550,4,2,39.06,32.3,1,4,60.24,70.7,1,475,5
551,Location 551,16,4,41.26,53.5,7,4,310.17,80.4,1,665,6
552,Location 552,24,2,23.61,66.0,7,5,56.16,52.7,2,400,6
553,Location 553,16,2,49.18,85.8,1,1,379.6,75.1,1,217,6
554,Location 554,23,1,39.55,53.7,5,4,20.05,56.6,3,453,1
555,Location 555,2,2,38.91,79.4,2,3,132.19,62.9,1,404,4
556,Location 556,17,1,37.64,43.1,3,5,446.43,94.8,3,240,2
557,Location 557,20,5,8.38,82.5,3,3,362.08,75.0,2,186,4
558,Location 558,24,1,11.64,46.5,1,3,45.75,54.2,3,48,6
559,Location 559,12,4,23.74,40.0,5,4,412.35,95.0,1,386,1
560,Location 560,18,1,13.94,43.0,7,3,251.59,78.4,1,208,4
561,Location 561,3,5,21.35,42.7,4,1,424.92,94.7,2,157,4
562,Location 562,1,4,44.53,65.9,2,3,304.36,74.0,1,225,5
563,Location 563,1,3,41.39,89.1,1,4,344.1,68.8,2,144,4
564,Location 564,19,3,31.87,35.6,3,3,496.82,95.0,2,419,5
565,Location 565,11,1,43.05,79.5,7,5,123.84,50.0,1,111,5
566,Location 566,5,1,39.4,75.8,6,5,315.73,70.6,3,465,3
567,Location 567,12,5,22.02,91.1,6,5,235.56,56.1,2,132,6
568,Location 568,3,5,10.85,47.1,5,2,29.33,61.8,3,625,1
569,Location 569,1,2,26.2,61.5,5,5,17.09,57.2,1,601,5
570,Location 570,1,5,37.08,94.8,1,5,68.42,50.5,3,673,4
571,Location 571,8,2,22.38,76.2,4,2,328.05,74.8,3,334,5
572,Location 572,10,4,33.67,57.2,3,5,287.91,69.8,3,75,5
573,Location 573,11,1,5.62,39.2,1,4,281.18,84.2,3,412,5
574,Location 574,12,4,37.65,48.4,4,5,25.61,63.6,1,519,2
575,Location 575,13,5,40.82,70.7,7,5,239.96,72.4,1,625,2
576,Location 576,12,4,35.64,80.3,5,2,463.07,82.7,3,36,2
577,Location 577,14,4,48.4,38.7,6,4,204.82,84.3,1,625,2
578,Location 578,2,4,41.51,72.0,2,3,316.21,76.3,1,223,3
579,Location 579,19,5,45.25,68.5,7,1,392.11,81.7,2,530,5
580,Location 580,18,4,46.74,66.0,6,4,394.12,82.4,1,241,3
581,Location 581,3,2,40.27,78.3,3,3,264.45,64.5,3,134,4
582,Location 582,23,5,34.04,88.6,3,4,430.4,86.4,1,391,6
583,Location 583,17,4,1.28,52.6,6,3,201.78,68.6,1,102,1
584,Location 584,26,5,23.83,92.2,7,3,445.46,86.5,1,652,3
585,Location 585,8,3,28.99,41.2,6,4,127.71,74.3,1,681,2
586,Location 586,26,2,15.9,42.1,4,2,147.31,77.3,2,498,2
587,Location 587,10,4,16.59,48.7,1,4,36.03,62.3,3,511,4
588,Location 588,26,3,48.1,38.4,5,4,399.84,90.1,3,537,5
589,Location 589,2,3,44.69,46.1,4,3,214.36,84.0,1,545,1
590,Location 590,19,5,42.61,37.4,2,1,122.27,72.1,1,343,3
591,Location 591,9,3,20.89,87.5,6,3,123.58,50.0,2,6,5
592,Location 592,7,2,1.67,39.7,2,5,451.69,95.0,1,194,5
593,Location 593,4,2,4.93,82.3,2,4,418.62,81.5,2,137,6
594,Location 594,26,1,16.3,33.4,4,4,281.23,82.7,3,473,6
595,Location 595,21,2,1.77,96.4,5,2,311.89,65.8,3,216,3
596,Location 596,18,3,1.84,79.8,7,3,242.42,66.1,2,349,3
597,Location 597,13,2,45.91,30.5,3,2,201.92,78.1,3,183,3
598,Location 598,11,5,35.6,83.5,1,4,458.58,87.3,1,168,3
599,Location 599,24,1,16.14,66.0,3,3,71.55,57.9,1,38,2
600,Location 600,4,3,7.5,84.6,5,3,215.04,69.9,2,675,5
601,Location 601,25,1,26.07,66.6,3,5,178.84,62.8,3,471,5
602,Location 602,21,3,1.26,74.9,6,5,254.09,66.0,3,452,2
603,Location 603,25,5,46.98,85.0,6,1,234.24,57.9,2,490,5
604,Location 604,4,1,21.33,58.4,4,5,264.26,76.3,2,142,3
605,Location 605,10,4,20.71,30.2,2,3,78.56,60.7,3,103,1
606,Location 606,5,3,20.14,89.5,5,5,261.44,59.7,2,42,6
607,Location 607,9,4,4.4,56.7,5,1,128.79,65.4,1,147,6
608,Location 608,24,1,32.28,64.7,3,4,100.32,54.3,3,66,5
609,Location 609,3,4,36.92,30.5,4,5,41.77,63.5,2,193,1
610,Location 610,17,4,34.13,64.4,3,3,383.7,83.7,2,298,6
611,Location 611,3,1,7.78,99.1,3,4,219.45,58.0,2,38,1
612,Location 612,16,5,29.36,49.5,5,3,317.06,83.8,3,502,2
613,Location 613,4,4,28.9,57.7,3,4,366.52,95.0,1,653,4
614,Location 614,18,4,43.55,78.1,2,3,342.87,81.7,1,618,5
615,Location 615,17,5,19.58,87.0,3,5,240.55,66.0,3,428,2
616,Location 616,7,4,19.2,59.2,2,5,200.07,75.6,2,664,2
617,Location 617,24,4,31.31,51.7,5,1,194.22,72.7,3,352,1
618,Location 618,23,4,32.02,95.6,4,4,323.62,68.7,3,326,5
619,Location 619,5,2,23.99,77.4,6,1,252.45,60.3,2,38,2
620,Location 620,12,5,22.71,38.3,2,2,426.07,92.2,3,97,3
621,Location 621,17,4,25.21,34.8,4,5,438.6,95.0,1,108,2
622,Location 622,23,5,43.19,63.8,4,4,93.57,60.0,3,631,3
623,Location 623,13,3,23.6,45.4,2,1,76.75,61.9,2,151,4
624,Location 624,23,3,47.06,47.8,5,1,318.9,77.3,3,74,3
625,Location 625,25,4,25.7,91.4,1,2,157.6,54.8,1,57,3
626,Location 626,3,5,47.51,36.3,4,1,19.1,56.8,3,335,1
627,Location 627,9,5,41.81,80.1,4,3,445.43,83.3,3,252,2
628,Location 628,17,5,18.76,49.0,5,5,121.18,68.4,3,254,4
629,Location 629,17,2,43.32,83.2,5,1,465.35,84.1,3,385,2
630,Location 630,20,3,6.39,80.6,3,1,361.54,79.3,2,456,3
631,Location 631,16,5,46.33,30.5,5,2,383.7,91.9,1,259,6
632,Location 632,25,5,31.95,65.6,4,3,108.72,63.5,1,465,3
633,Location 633,22,2,3.67,39.8,2,1,124.76,72.2,1,34,2
634,Location 634,13,2,32.57,90.6,1,5,265.42,69.2,3,495,4
635,Location 635,19,5,48.74,91.0,7,5,94.33,50.0,1,326,6
636,Location 636,17,1,4.42,59.3,3,1,159.66,65.8,2,238,4
637,Location 637,4,5,28.18,61.1,7,3,167.52,68.5,3,691,1
638,Location 638,12,5,37.64,51.2,2,5,88.22,64.9,3,616,3
639,Location 639,9,2,40.7,80.2,1,5,110.54,61.6,1,541,3
640,Location 640,19,2,21.28,55.1,1,3,396.39,92.0,3,466,1
641,Location 641,12,5,11.0,48.7,1,3,91.93,61.5,3,304,2
642,Location 642,9,5,3.07,60.3,6,1,23.94,52.3,1,117,3
643,Location 643,7,5,29.41,36.4,2,4,318.38,86.4,2,207,2
644,Location 644,14,2,23.19,82.3,3,2,488.23,95.0,2,697,4
645,Location 645,20,5,47.49,30.9,3,4,172.29,74.5,1,481,6
646,Location 646,19,5,3.97,75.1,1,4,68.14,58.7,2,650,6
647,Location 647,26,4,34.58,42.8,2,5,289.49,81.8,2,403,6
648,Location 648,15,1,2.22,46.3,6,3,454.11,94.8,2,676,5
649,Location 649,16,3,9.4,74.5,1,5,394.19,85.0,3,587,1
650,Location 650,21,1,23.23,99.5,5,2,315.03,63.5,3,233,6
651,Location 651,5,4,23.29,84.4,7,1,164.38,51.7,3,284,3
652,Location 652,3,3,34.6,45.8,3,2,275.52,84.7,2,480,1
653,Location 653,12,5,45.6,42.3,7,5,54.71,53.7,3,9,4
654,Location 654,25,4,32.31,90.6,4,5,342.68,73.6,2,379,4
655,Location 655,20,5,47.72,61.1,1,5,365.3,87.4,1,603,4
656,Location 656,21,2,44.2,39.6,5,5,482.87,95.0,2,381,4
657,Location 657,4,4,29.64,90.4,3,4,137.59,58.9,3,662,5
658,Location 658,21,2,41.86,87.1,7,1,19.04,50.0,2,360,2
659,Location 659,23,4,32.49,98.9,6,4,277.35,59.4,3,176,2
660,Location 660,16,4,4.85,93.7,2,5,356.33,72.5,3,485,6
661,Location 661,25,2,37.29,89.6,3,3,397.3,80.3,1,405,5
662,Location 662,7,3,5.65,33.7,7,4,104.93,68.1,1,33,2
663,Location 663,13,1,30.11,37.3,2,5,138.26,72.3,3,465,4
664,Location 664,21,5,35.43,69.8,7,5,261.17,73.6,2,696,2
665,Location 665,10,4,4.26,67.2,2,1,171.99,64.5,1,157,1
666,Location 666,26,5,12.31,62.1,6,2,431.65,90.6,1,565,6
667,Location 667,7,2,45.87,57.8,6,4,242.14,64.3,3,202,2
668,Location 668,14,5,31.2,60.2,1,4,401.79,88.8,2,175,1
669,Location 669,26,2,13.07,69.9,1,4,294.5,77.2,1,244,3
670,Location 670,5,5,34.84,30.1,3,5,388.81,95.0,1,269,1
671,Location 671,3,1,30.24,48.2,6,1,173.01,75.1,2,446,1
672,Location 672,23,1,25.58,66.3,5,5,417.39,89.1,1,74,4
673,Location 673,11,1,48.83,80.6,7,5,144.54,50.0,2,96,4
674,Location 674,11,1,34.49,42.2,7,3,277.59,71.5,3,173,6
675,Location 675,18,1,19.4,68.3,7,1,114.86,61.5,1,406,4
676,Location 676,15,1,40.2,80.0,3,4,243.01,59.3,3,155,1
677,Location 677,12,2,44.34,61.1,7,2,165.91,56.0,2,183,5
678,Location 678,9,4,7.14,31.9,4,4,140.68,82.1,3,323,4
679,Location 679,10,5,10.83,61.4,2,5,483.82,91.7,3,289,4
680,Location 680,26,1,11.6,50.8,7,1,88.44,54.9,3,258,1
681,Location 681,12,2,34.87,95.1,2,1,395.79,82.2,2,587,3
682,Location 682,17,2,30.55,38.7,1,1,492.24,95.0,2,174,3
683,Location 683,6,2,31.33,75.7,7,3,19.75,50.0,2,330,2
684,Location 684,7,4,47.1,33.7,5,4,352.52,90.7,2,231,6
685,Location 685,14,5,39.02,61.2,6,3,133.93,59.8,2,161,3
686,Location 686,13,4,7.27,68.8,6,2,29.84,50.4,1,186,4
687,Location 687,8,3,18.03,50.9,1,5,207.42,73.2,1,143,5
688,Location 688,10,2,22.33,61.9,4,3,468.26,95.0,1,282,2
689,Location 689,9,3,20.4,41.4,3,3,15.76,66.4,3,640,6
690,Location 690,18,1,33.8,51.3,3,5,298.06,84.1,3,678,5
691,Location 691,26,1,44.7,73.5,5,1,255.68,61.5,2,27,5
692,Location 692,2,4,16.0,51.1,1,5,437.96,93.8,2,246,4
693,Location 693,5,5,28.04,93.0,1,4,51.16,50.7,1,487,1
694,Location 694,5,3,39.68,74.0,4,5,343.95,82.3,2,647,1
695,Location 695,6,5,21.39,60.7,7,1,343.25,74.7,3,202,1
696,Location 696,19,4,9.24,32.7,3,5,337.85,92.6,2,21,3
697,Location 697,8,1,24.27,65.0,7,3,471.74,95.0,1,591,1
698,Location 698,16,5,3.71,83.5,1,2,413.31,85.3,2,670,6
699,Location 699,13,5,47.18,48.6,7,3,30.57,50.0,3,94,4
700,Location 700,1,1,4.67,86.5,6,2,240.83,60.2,1,8,3
701,Location 701,22,3,22.48,47.6,5,5,205.0,74.6,2,472,6
702,Location 702,20,1,26.96,87.7,3,4,161.97,55.3,3,339,1
703,Location 703,17,5,49.28,36.0,4,5,231.15,82.3,1,259,6
704,Location 704,7,3,9.14,90.6,5,1,198.26,58.7,1,55,5
705,Location 705,25,3,6.61,64.9,2,5,221.84,70.3,3,548,4
706,Location 706,13,1,1.43,50.8,6,2,489.84,92.2,2,6,4
707,Location 707,4,5,8.62,48.6,4,3,53.43,61.1,2,377,6
708,Location 708,4,4,11.16,60.2,5,4,461.89,95.0,2,554,2
709,Location 709,6,5,31.9,99.9,1,5,245.32,61.3,1,50,4
710,Location 710,19,2,11.77,45.4,2,5,315.63,85.3,1,112,5
711,Location 711,12,4,2.01,37.2,4,3,416.79,95.0,2,146,4
712,Location 712,22,3,41.5,71.0,1,4,186.63,64.8,1,230,2
713,Location 713,7,4,18.91,64.2,6,5,220.91,72.7,1,497,4
714,Location 714,10,3,18.33,66.7,2,5,210.66,65.3,3,306,4
715,Location 715,26,3,15.82,76.7,3,2,193.62,67.3,2,542,2
716,Location 716,19,4,48.79,48.7,1,2,463.51,95.0,2,461,4
717,Location 717,7,3,9.34,93.7,5,1,416.18,83.1,2,628,6
718,Location 718,3,3,45.01,60.5,7,3,63.41,53.4,1,226,3
719,Location 719,13,2,39.06,39.0,4,4,62.98,62.1,1,59,6
720,Location 720,13,5,4.75,82.0,2,5,219.66,66.5,1,76,4
721,Location 721,18,5,49.35,75.0,1,5,58.34,52.7,2,428,1
722,Location 722,26,2,14.3,52.1,3,1,313.36,82.4,1,132,1
723,Location 723,20,4,5.83,73.5,7,5,80.41,52.1,2,498,3
724,Location 724,8,1,41.64,45.4,4,3,265.96,85.6,1,593,4
725,Location 725,9,1,35.63,61.1,4,1,13.54,52.8,2,305,5
726,Location 726,7,1,31.24,93.0,1,3,165.13,52.2,3,67,4
727,Location 727,1,2,8.64,39.3,3,1,341.82,94.1,1,230,1
728,Location 728,3,2,24.45,57.1,6,5,247.18,72.8,2,333,2
729,Location 729,13,3,39.25,87.5,7,1,489.35,83.5,3,277,3
730,Location 730,25,1,15.88,97.9,6,2,438.31,77.3,3,584,2
731,Location 731,17,4,16.27,61.8,2,4,185.94,67.1,1,144,5
732,Location 732,25,4,1.15,65.5,1,5,32.29,50.5,2,251,4
733,Location 733,24,1,9.54,70.1,7,4,424.36,92.5,1,691,5
734,Location 734,1,1,43.89,95.3,2,5,456.5,74.5,3,80,2
735,Location 735,6,1,22.65,90.1,6,4,412.11,75.6,1,57,4
736,Location 736,21,2,49.23,41.9,7,2,72.7,59.6,2,366,6
737,Location 737,6,2,20.39,60.6,4,4,498.98,92.6,3,308,6
738,Location 738,26,2,36.04,62.5,2,1,136.71,61.8,1,174,5
739,Location 739,12,5,14.81,85.2,3,4,364.86,81.4,1,462,6
740,Location 740,13,4,18.83,72.2,5,5,454.94,95.0,1,678,6
741,Location 741,13,4,10.35,75.8,6,3,125.49,63.0,1,596,1
742,Location 742,15,3,18.01,99.9,6,4,455.05,79.9,1,493,6
743,Location 743,21,2,27.81,35.2,3,4,161.65,74.4,3,560,1
744,Location 744,16,5,49.6,45.6,7,4,488.44,95.0,3,639,3
745,Location 745,22,5,33.55,58.6,7,5,147.82,67.2,2,681,1
746,Location 746,21,4,10.76,54.3,7,4,477.18,95.0,1,374,1
747,Location 747,11,2,3.2,31.5,2,5,36.24,67.0,2,349,2
748,Location 748,5,3,7.19,36.4,1,5,357.54,88.0,3,67,1
749,Location 749,4,2,28.57,77.7,4,3,270.73,77.0,1,330,1
750,Location 750,3,1,38.49,91.6,5,1,244.16,64.7,2,194,2
